entity,thing,type1
Alfredo Stroessner,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Everett McKinley Dirksen,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mohammed bin Salman,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nicholas II,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Léon Blum,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Key,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alan Cranston,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Canaan Banana,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James G. Blaine,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rab Butler,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Adlai Stevenson I,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Julius Maada Bio,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nouri Al-Maliki,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Akbar Hashemi Rafsanjani,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Carl Albert,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alf Landon,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Bidhan Chandra Roy,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Wilkes,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Khan Abdul Ghaffar Khan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Walid Jumblatt,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
J. B. Kirpalani,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Hume,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Charles G. Dawes,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Agnes Macphail,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Penny Wong,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Richard Mentor Johnson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Govind Ballabh Pant,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lord Mountbatten,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
George Canning,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ralph Bunche,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Garang,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Norman Thomas,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Martti Oiva Kalevi Ahtisaari,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mohamed Nasheed,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James L. Buckley,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ahmed Ben Bella,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Khawaja Nazimuddin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
David Trimble,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Omar Torrijos,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lon Nol,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Henry Wilson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ernest Bevin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gloria Macapagal-Arroyo,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Tony Tan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Clement Vallandigham ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ahmed Chalabi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ahmadou Ahidjo,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
J. R. Jayewardene,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Don Stephen Senanayake,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Garret Hobart,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Hussein Onn,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Charles W. Fairbanks,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mark White,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Trygve Lie,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Morgan Tsvangirai,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Levi P. Morton,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Austen Chamberlain,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Agostinho Neto,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Daniel D. Tompkins,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Violeta Chamorro,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jakaya Kikwete,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Edward Everett,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jean-Pierre Bemba,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Thomas A. Hendricks,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Kitaw Ejigu,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
George M. Dallas,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Khaled Mashal,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rolandas Paksas,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James S. Sherman,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Aristide Briand,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Cheddi Jagan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Girija Prasad Koirala ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ben Bradshaw,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Simon Bolivar,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Michel Martelly,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Henry Parkes,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
"By maybe John Thomas Scharf [Public domain], via Wikimedia Commons",political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ollanta Humala,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Abba Eban,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James R. Thompson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Francisco Solano López,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Stephen F. Lynch,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Milan Rastislav Štefánik,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Josiah Bartlett,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Pak Pong-ju,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jennifer Carroll,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Maumoon Abdul Gayoom,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Dominique de Villepin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gustáv Husák,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
George Habash,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Bright,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Kamla Persad-Bissessar,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Antanas Smetona,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Abdoulaye Wade,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
José Napoleón Duarte,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Maximilien de Robespierre,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gopinath Bordoloi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Abdou Diouf,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
William A. Wheeler,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Frank B. Kellogg,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Norodom Ranariddh,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Vincent Auriol,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Valdas Adamkus,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Fernando de la Rúa,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Fan S. Noli,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Eduardo Duhalde,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Anatoly Chubais,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Dr Zakir Hussain,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Kem Sokha,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
"Robert M. La Follette, Sr.",political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Johannes Rau,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
George Wythe,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Pavel Grudinin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Arthur Henderson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ranil Wickremasinghe,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Tengku Razaleigh Hamzah,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Marwan Barghouti,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Luther Martin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Guillermo Endara,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Laura Chinchilla,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Francis Hopkinson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Gideon Welles,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Htin Kyaw,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Maulana Abul Kalam Azad,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Budd Dwyer,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Joaquim Chissano,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alva Myrdal,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Antonis Samaras,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Adam Malik,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mauricio Funes,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Don Dunstan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lyman Hall,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Fatos Nano,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Emil Constantinescu,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Hanan Ashrawi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Otto Pérez Molina,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
George W Norris,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Robert Treat Paine,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Stephen Lewis,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Georges Bidault,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Baburam Bhattarai,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Bob Wise,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mustafa Tlass,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ľudovít Štúr,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mainza Chona,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Stephan Douglas,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Dramani Mahama,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Horacio Cartes,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ernesto Cardenal,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rupiah Banda,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Hugo Chavez,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Francis Lewis,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Almazbek Atambayev,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Richard Henry Dana Jr.,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sushil Koirala,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mustafa Kemal Ataturk,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jigme Thinley,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Carl Stokes,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Scott Brown,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Manuel Gonzalez,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Marc Antony,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Syama Prasad Mookerjee,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Michael Collins,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Adolfo Rodríguez Saá,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Henninger Reagan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Enid Lyons,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lennart Meri,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Charles Taylor,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sam Rainsy,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Altaf Hussain,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Michel Jean-Pierre Debre,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Arnoldo Alemán,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Enrique Bolaños,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Martín Torrijos,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Francisco Flores Pérez,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Philip Noel-Baker,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Edgar Savisaar,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Prachanda ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Raul Castro,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
William Hooper,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mireya Moscoso,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Léon Bourgeois,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Blaise Diagne,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
William A. Marovitz,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Laisenia Qarase,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Bruce Fairchild Barton,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
William Ellery ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sun Yat Sen ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Henri La Fontaine,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Matthew Thornton,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Bamir Topi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Haneen Zoabi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Oscar Arias Sanchez,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Holden Roberto,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Algirdas Brazauskas,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Surin Pitsuwan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Yiannis Boutaris,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James Douglas,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
George Clinton,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
General Aung San,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Emile Habibi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Raymond Octave Joseph Barre,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Muhammad Ali Bogra,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Krishna Prasad Bhattarai ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alexandre Auguste Ledru-Rollin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Salvador Jorge Blanco,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lord North,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
David Dubinsky,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nariman Narimanov,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nicanor Duarte,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Joaquin Eufrasio Buzman,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lincoln Davis,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Son Sann,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Davis Long,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lord Acton,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mikuláš Dzurinda,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Benjamin Nnamdi Azikiwe ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Valeriya Novodvorskaya,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lech Walesa,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Luis Alberto Lacalle,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rafael Leonardo Callejas Romero,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ralph Regenvanu,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Kim Dae Jung ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Slobodan Milosevic,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lovemore Madhuku,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Bill Walker,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mamadou Dia,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Azmin Ali,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Charles Pelham Villiers,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
André-Marie Mbida,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Georges Clemenceau,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Albert John Luthuli,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Andrew Bonar Law,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Laila Freivalds,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
"Paul Martin, Sr",political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Pippy,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Bogolo Joy Kenewendo,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Kolinda Grabar-Kitarović,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Shinzō Abe,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Zoran Jolevski,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Yoshiro Mori,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alexander Dubcek,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alija Izetbegovic,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Joaquin Balaguer,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mark Kennedy,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alfred Emanuel Smith,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Hassan Sheikh Mohamoud,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sebastian Pinera,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Liadh Ni Riada,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
F D Roosevelt,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ivan Gašparovič,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Dalia Grybauskaitė,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Park-Chung-hee,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Recep Tayyip Erdoğan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Philip Stanhope Lord chesterfield,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ivica Dačić,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rezā Shāh,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Barry Morris Goldwater,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ljubco Georgievski,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Éamon de Valera,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
János Áder,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
C.P. Scott,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Akua Dansua,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Traian Băsescu,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Feargus OConnor,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Vladimír Mečiar,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Alan Garcia,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Paul Simon ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Beto O’Rourke,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
